time	V(n001)
3.699910000000000e-01	-3.000000e+00
3.699912399999999e-01	-3.000000e+00
3.699915599999999e-01	-3.000000e+00
3.699921999999999e-01	-3.000000e+00
3.699934799999999e-01	-3.000000e+00
3.699960399999999e-01	-3.000000e+00
3.699990000000000e-01	-3.000000e+00
3.699991000000000e-01	-2.700000e+00
3.699993000000000e-01	-2.100000e+00
3.699997000000000e-01	-9.000000e-01
3.700000000000000e-01	0.000000e+00
3.799900000000000e-01	0.000000e+00
3.799901000000000e-01	-3.000000e-01
3.799903000000000e-01	-9.000000e-01
3.799907000000000e-01	-2.100000e+00
3.799910000000000e-01	-3.000000e+00
3.799912400000000e-01	-3.000000e+00
3.799915600000000e-01	-3.000000e+00
3.799921999999999e-01	-3.000000e+00
3.799934799999999e-01	-3.000000e+00
3.799960399999999e-01	-3.000000e+00
3.799990000000000e-01	-3.000000e+00
3.799991000000000e-01	-2.700000e+00
3.799993000000000e-01	-2.100000e+00
3.799997000000000e-01	-9.000000e-01
3.800000000000000e-01	0.000000e+00
3.899900000000000e-01	0.000000e+00
3.899901000000000e-01	-3.000000e-01
3.899903000000000e-01	-9.000000e-01
3.899907000000000e-01	-2.100000e+00
3.899910000000000e-01	-3.000000e+00
3.899912400000000e-01	-3.000000e+00
3.899915600000000e-01	-3.000000e+00
3.899922000000000e-01	-3.000000e+00
3.899934799999999e-01	-3.000000e+00
3.899960399999999e-01	-3.000000e+00
3.899990000000000e-01	-3.000000e+00
3.899991000000000e-01	-2.700000e+00
3.899993000000000e-01	-2.100000e+00
3.899997000000000e-01	-9.000000e-01
3.900000000000000e-01	0.000000e+00
3.999900000000000e-01	0.000000e+00
3.999901000000000e-01	-3.000000e-01
3.999903000000000e-01	-9.000000e-01
3.999907000000000e-01	-2.100000e+00
3.999910000000000e-01	-3.000000e+00
3.999912400000000e-01	-3.000000e+00
3.999915600000000e-01	-3.000000e+00
3.999922000000000e-01	-3.000000e+00
3.999934800000001e-01	-3.000000e+00
3.999960400000002e-01	-3.000000e+00
3.999990000000000e-01	-3.000000e+00
3.999991000000000e-01	-2.700000e+00
3.999993000000000e-01	-2.100000e+00
3.999997000000000e-01	-9.000000e-01
4.000000000000000e-01	0.000000e+00
4.099900000000000e-01	0.000000e+00
4.099901000000000e-01	-3.000000e-01
4.099903000000000e-01	-9.000000e-01
4.099907000000000e-01	-2.100000e+00
4.099910000000000e-01	-3.000000e+00
4.099912400000000e-01	-3.000000e+00
4.099915600000000e-01	-3.000000e+00
4.099922000000000e-01	-3.000000e+00
4.099934800000001e-01	-3.000000e+00
4.099960400000002e-01	-3.000000e+00
4.099990000000000e-01	-3.000000e+00
4.099991000000000e-01	-2.700000e+00
4.099993000000000e-01	-2.100000e+00
4.099997000000000e-01	-9.000000e-01
4.100000000000000e-01	0.000000e+00
4.199900000000000e-01	0.000000e+00
4.199901000000000e-01	-3.000000e-01
4.199903000000000e-01	-9.000000e-01
4.199907000000000e-01	-2.100000e+00
4.199910000000000e-01	-3.000000e+00
4.199912400000000e-01	-3.000000e+00
4.199915600000000e-01	-3.000000e+00
4.199922000000000e-01	-3.000000e+00
4.199934800000001e-01	-3.000000e+00
4.199960400000002e-01	-3.000000e+00
4.199990000000000e-01	-3.000000e+00
